Pressure (bar),Temperature (0 C),Cat_MolLogP,An_BalabanJ,Cat_EState_VSA9,Anion_pKa,Cat_VSA_EState3,An_Ipc,Cat_Chi0n,Cat_SMR_VSA5,Cat_EState_VSA2,Cat_Chi2n,Cat_EState_VSA8,Cat_Chi4v,Cat_BCUT2D_LOGPLOW,Cat_Chi2v,Cat_TPSA,Cat_BCUT2D_MRHI,An_Chi3n,An_PEOE_VSA3
7.59,40.0,1.8929,2.803039488,0.0,-1.4,0.0,3.245112498,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.0,0.0
8.996,60.0,1.1192,5.284512596,4.736862954,-10.5,0.0,484.0282471,7.683889011,13.8474744,0.0,2.968365301,20.89514638,0.851508194,-2.452395952,2.968365301,9.23,4.316792798,0.781235864,16.83559397
11.93,65.1,1.1127,3.817887676,0.0,-5.0,0.0,34.39946188,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.335410197,15.78567466
111.1,90.0,1.1127,0.0,0.0,-6.0,0.0,0.0,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
4.997,25.0,0.3325,3.023715784,0.0,-0.4,0.0,3.609640474,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.0,0.0
1.0,40.0,-0.7287,3.214876897,5.733667477,2.18,0.0,133.5093252,5.61804183,6.544756406,0.0,2.105582931,4.567099648,0.78305581,-2.238056149,2.105582931,34.83,4.648027114,1.272001955,0.0
4.93,35.0,1.1127,3.817887676,0.0,-5.0,0.0,34.39946188,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.335410197,15.78567466
0.000425,50.0,1.1127,3.023715784,0.0,-0.4,0.0,3.609640474,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
11.0,30.0,1.8929,5.90678447,0.0,-12.0,0.0,6252.123972,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,1.504221363,16.83559397
4.27,50.0,-0.6951,3.023715784,5.106527395,-0.4,8.498854875,3.609640474,5.487905156,6.544756406,6.606881965,2.040514595,0.0,0.749454665,-2.23449804,2.040514595,29.04,4.642363983,0.0,0.0
12.999,50.0,1.1192,5.284512596,4.736862954,-10.5,0.0,484.0282471,7.683889011,13.8474744,0.0,2.968365301,20.89514638,0.851508194,-2.452395952,2.968365301,9.23,4.316792798,0.781235864,16.83559397
11.0,50.0,1.42112,4.431293675,0.0,-15.0,0.0,4.14170945,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
46.8,27.54,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
10.93,80.1,1.1127,3.817887676,0.0,-5.0,0.0,34.39946188,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.335410197,15.78567466
2.5,25.0,0.64092,5.284512596,0.0,-11.0,0.0,484.0282471,6.256234511,20.39223081,0.0,2.242276405,42.42303282,0.933049334,-2.290256905,2.242276405,8.81,4.773410433,0.781235864,16.83559397
0.498,25.0,0.64092,5.284512596,0.0,-11.0,0.0,484.0282471,6.256234511,20.39223081,0.0,2.242276405,42.42303282,0.933049334,-2.290256905,2.242276405,8.81,4.773410433,0.781235864,16.83559397
149.2,60.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
5.0,45.05,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
7.5,9.95,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
4.147,30.0,2.6731,5.284512596,0.0,-11.0,0.0,484.0282471,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.781235864,16.83559397
12.497,25.05,6.3501,5.284512596,0.0,-11.0,0.0,484.0282471,16.38778025,103.3599963,0.0,7.254749883,53.97865591,3.175878719,-2.30158942,7.254749883,8.81,4.807506135,0.781235864,16.83559397
1.5,40.0,1.6762,3.214876897,0.0,2.18,0.0,133.5093252,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,1.272001955,0.0
20.0,44.99,2.8071,5.284512596,0.0,-11.0,0.0,484.0282471,8.811174626,45.44866694,0.0,4.558091038,13.97140918,2.242759131,-2.409463473,4.558091038,0.0,4.517695573,0.781235864,16.83559397
0.499,50.0,1.42112,3.023715784,0.0,-0.4,0.0,3.609640474,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
98.15,95.25,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
0.1,40.0,0.4986,5.284512596,0.0,-10.5,0.0,484.0282471,5.61804183,6.544756406,0.0,2.064550319,11.14603533,0.758783698,-2.231679569,2.064550319,8.81,4.730718693,0.781235864,16.83559397
20.23,50.0,1.7742,2.857271683,0.0,1.5,0.0,11.2451125,6.455285285,26.31013685,0.0,2.466872425,36.01725813,0.924077419,-2.313997421,2.466872425,3.88,4.829318036,0.1,0.0
0.77,40.0,1.6762,3.214876897,0.0,2.18,0.0,133.5093252,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,1.272001955,0.0
5.87,50.02,1.1127,2.803039488,0.0,-1.4,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
55.05,25.0,1.6368,5.284512596,0.0,-11.0,0.0,484.0282471,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.781235864,16.83559397
22.8,40.0,1.1127,3.850621639,0.0,-3.0,0.0,12.16479704,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.204124145,8.417796984
17.668,80.0,1.1127,5.284512596,0.0,-11.0,0.0,484.0282471,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.781235864,16.83559397
19.67,40.0,1.7742,2.857271683,0.0,1.5,0.0,11.2451125,6.455285285,26.31013685,0.0,2.466872425,36.01725813,0.924077419,-2.313997421,2.466872425,3.88,4.829318036,0.1,0.0
13.93,50.0,2.6731,3.817887676,0.0,-5.0,0.0,34.39946188,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.335410197,15.78567466
0.008178,25.0,-0.3151,2.349936739,5.106527395,1.99,8.38625,93.10259339,5.308640753,0.0,6.606881965,2.73753768,21.14301595,0.3,-2.364053132,2.73753768,20.23,4.186395699,1.344830979,0.0
9.528,70.0,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
14.999,40.0,1.4927,5.284512596,0.0,-10.0,0.0,484.0282471,6.568533939,20.26829602,0.0,2.975566021,27.94281836,0.763441362,-2.390502427,2.975566021,0.0,4.251489439,0.781235864,16.83559397
199.66,45.0,1.6368,5.284512596,0.0,-11.0,0.0,484.0282471,6.689854283,26.18620207,0.0,3.497430866,13.97140918,1.86229292,-2.406421229,3.497430866,0.0,4.499575973,0.781235864,16.83559397
2.0,50.02,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
0.5,70.0,1.8828,4.458227082,0.0,-10.0,0.0,27.43574108,7.27564072,27.19203322,0.0,2.975566021,27.81888358,1.079669128,-2.434034061,2.975566021,0.0,4.302042132,0.178059741,16.83559397
2.0,30.0,1.6762,3.637682548,0.0,2.29,0.0,39.36806555,7.032255393,26.31013685,0.0,2.634779991,24.2666161,0.991808691,-2.299474094,2.634779991,8.81,5.124721106,0.99039904,0.0
30.747,60.0,1.3609,5.284512596,0.0,-10.5,0.0,484.0282471,7.720336126,6.544756406,0.0,3.237013442,41.35673157,1.389481779,-2.233288891,3.237013442,8.81,5.142192816,0.781235864,16.83559397
0.002202,45.0,-0.3151,2.641763905,5.106527395,2.2,8.38625,758.7643883,5.308640753,0.0,6.606881965,2.73753768,21.14301595,0.3,-2.364053132,2.73753768,20.23,4.186395699,1.694705198,0.0
6.0,10.01,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
12.999,30.0,1.8929,5.90678447,0.0,-12.0,0.0,6252.123972,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,1.504221363,16.83559397
13.0,25.0,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
1.4,60.0,2.6731,3.023715784,0.0,-0.4,0.0,3.609640474,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.0,0.0
18.93,25.0,2.283,3.817887676,0.0,-5.0,0.0,34.39946188,8.869118686,45.57260172,0.0,3.731121359,41.8266157,1.531915587,-2.232753794,3.731121359,8.81,4.649670175,0.335410197,15.78567466
0.94,25.0,1.8929,3.817887676,0.0,-5.0,0.0,34.39946188,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.335410197,15.78567466
34.954,44.85,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
29.95,27.49,1.1127,2.803039488,0.0,-1.4,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
49.806,40.0,0.3325,3.576866225,0.0,1.4,0.0,64.0524865,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.574426656,0.0
0.199,25.0,1.42112,4.431293675,0.0,-15.0,0.0,4.14170945,7.670448073,33.23387405,0.0,3.003208827,42.42303282,1.163612434,-2.346436727,3.003208827,8.81,4.759205291,0.0,0.0
10.94,80.1,2.283,3.817887676,0.0,-5.0,0.0,34.39946188,8.869118686,45.57260172,0.0,3.731121359,41.8266157,1.531915587,-2.232753794,3.731121359,8.81,4.649670175,0.335410197,15.78567466
23.5,45.03,3.6387,3.817887676,0.0,-5.0,0.0,34.39946188,14.9127086,65.21404738,0.0,6.197222885,56.41350765,2.736369693,-2.434959524,6.197222885,9.49,5.735508279,0.335410197,15.78567466
0.251,49.95,6.3501,5.284512596,0.0,-11.0,0.0,484.0282471,16.38778025,103.3599963,0.0,7.254749883,53.97865591,3.175878719,-2.30158942,7.254749883,8.81,4.807506135,0.781235864,16.83559397
49.3,100.0,1.1127,2.803039488,0.0,4.76,0.0,3.245112498,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
100.04,45.0,2.0269,5.284512596,0.0,-11.0,0.0,484.0282471,7.396961064,32.60702369,0.0,3.850984256,13.97140918,1.86229292,-2.408798699,3.850984256,0.0,4.508065721,0.781235864,16.83559397
0.975,25.0,1.8929,8.661439749,0.0,-16.0,0.0,974112.7932,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,3.999174406,0.0
149.44,65.0,2.8071,5.284512596,0.0,-11.0,0.0,484.0282471,8.811174626,45.44866694,0.0,4.558091038,13.97140918,2.242759131,-2.409463473,4.558091038,0.0,4.517695573,0.781235864,16.83559397
12.76,70.0,-0.041,4.431293675,4.736862954,-15.0,0.0,4.14170945,6.448939851,6.544756406,0.0,2.309707077,4.567099648,0.83068096,-2.235190596,2.309707077,18.04,4.644794976,0.0,0.0
75.09,40.15,1.1127,4.431293675,0.0,-15.0,0.0,4.14170945,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
2.0,10.01,1.8929,5.284512596,0.0,-11.0,0.0,484.0282471,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.781235864,16.83559397
12.999,40.01,8.5145,5.284512596,0.0,-10.0,0.0,484.0282471,19.296456,136.3460008,0.0,9.093624943,27.81888358,4.156972693,-2.458750043,9.093624943,0.0,4.506109926,0.781235864,16.83559397
2.46,59.9,4.4415,5.284512596,0.0,-11.0,0.0,484.0282471,12.95422971,48.75452239,0.0,5.566687789,0.0,1.86252649,-2.696407643,5.566687789,8.81,5.096314209,0.781235864,16.83559397
11.336,25.0,0.6458,5.284512596,4.736862954,-10.0,0.0,484.0282471,7.88503052,13.8474744,5.969305288,3.315609357,21.01908117,0.594610077,-2.415939999,3.315609357,26.3,5.653310178,0.781235864,16.83559397
0.0473,10.0,0.3325,5.284512596,0.0,-11.0,0.0,484.0282471,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.781235864,16.83559397
1.287,30.0,2.6731,4.431293675,0.0,-15.0,0.0,4.14170945,9.576225467,51.99342334,0.0,4.08467475,41.8266157,1.708692282,-2.301583331,4.08467475,8.81,4.614116271,0.0,0.0
1.98,45.05,0.3325,3.602196822,0.0,-3.0,0.0,18.14170945,5.33358478,13.46849361,0.0,1.909528765,24.01500049,0.688772899,-2.281029183,1.909528765,8.81,4.609221388,0.262188697,8.417796984
143.7,110.0,1.1127,0.0,0.0,-6.0,0.0,0.0,6.747798342,26.31013685,0.0,2.670461187,34.77894371,0.97467268,-2.300196406,2.670461187,8.81,4.612538159,0.0,0.0
14.93,50.0,1.8929,3.817887676,0.0,-5.0,0.0,34.39946188,8.162011905,39.1517801,0.0,3.377567969,41.8266157,1.355138891,-2.301490519,3.377567969,8.81,4.613626824,0.335410197,15.78567466
15.002,50.05,-0.7518,2.803039488,0.0,-1.4,0.0,3.245112498,2.414213562,6.9237372,0.0,0.5,5.733667477,0.0,-2.477866841,0.5,27.64,3.792548982,0.0,0.0
0.025,35.0,-0.3151,3.49072966,5.106527395,2.19,8.38625,111.0417522,5.308640753,0.0,6.606881965,2.73753768,21.14301595,0.3,-2.364053132,2.73753768,20.23,4.186395699,0.971956703,0.0
