Ionic Liquid
1-butyl-3-methyl-imidazolium hexafluorophosphate
1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
1-butyl-3-methyl-imidazolium bis(trifluoromethylsulfonyl)imide
1-octyl-3-methyl-imidazolium bis(trifluoromethylsulfonyl)imide
1-dodecyl-3-methyl-imidazolium bis(trifluoromethylsulfonyl)imide
1-butyl-3-methyl-imidazolium nitrate
1-butyl-3-methyl-imidazolium dicyanamide
1-butyl-3-methyl-imidazolium tetrafluoroborate
1-butyl-3-methyl-imidazolium trifluooromethanesulfonate
1-butyl-3-methyl-imidazolium Methide
1-aminobytyl-3-imidazolium tetrafluoroborate
3-aminemethyl-1-n-butyl imidazolium bis(trifluoromethylsulfonyl)imide
1-aminopropyl-3-imidazolium bis(trifluoromethylsulfonyl)imide
"1,3-di(2′-aminoethyl)-2-methylimidazolium  bromide"
triethylenetetrammonium piperazine
triethylenetetrammonium imidazolate
triethylenetetrammonium pyrazolate
"triethylenetetrammonium 1,2,4-triazolate"
trihexyl(tetradecyl)phosphonium prolinate
trihexyl(tetradecyl)phosphonium methioninate
trihexyl(tetradecyl)phosphonium glycinate
trihexyl(tetradecyl)phosphonium L-α-aminopropionic acid
trihexyl(tetradecyl)phosphonium sarcosinate
trihexyl(tetradecyl)phosphonium isoleucinate
trihexyl(tetradecyl)ammonium lysinate
trihexyl(tetradecyl)ammonium histidine
trihexyl(tetradecyl)ammonium asparaginate
trihexyl(tetradecyl)ammonium glutamate
3-aminopropyl)tributylphosphonium Alanate
"1,1,1-trimethylhydrazinium glycinate"
1-aminopropyl-3-imidazolium lysinate
1-aminoethyl-3-methylimidazolium lysinate
triethylenetetrammonium lysinate
diethylenetriammonium lysinate
trihexyl(tetradecyl)phosphonium phenolate
trihexyl(tetradecyl)phosphonium p-methylphenolate
trihexyl(tetradecyl)phosphonium p-chlorophenolate
trihexyl(tetradecyl)phosphonium p-trifluoromethylphenolate
trihexyl(tetradecyl)phosphonium p-nitrophenolate
"N, N-dimethyl-1,3-propane diamine p-fluorophenolate"
trihexyl(tetradecyl)phosphonium cinnamate
trihexyl(tetradecyl)phosphonium 2-methoxyl cinnamate
trihexyl(tetradecyl)phosphonium 4-trifluoromethyl cinnamate
"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene trifluoroethyl"
"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene Imidazolate"
triethyl(octyl)phosphonium 2-cyanopyrrol-1-ide
triethyl(octyl)phosphonium 3-(trifluoromethyl)pyrazol-1-ide
triethyl(octyl)phosphonium 3-methyl-5-(trifluoromethyl)pyrazol-1-ide
triethyl(octyl)phosphonium 4-nitropyrazol-1-ide
Diethyelenetriammonium  Formate
Diethyelenetriammonium  Butanoate
Diethyelenetriammonium  Hexanoate
Diethyelenetriammonium  Octanoate
1-butyl-3-methylimidazolium hexafluorophosphate
"1-butyl-2,3-dimethylimidazolium hexafluorophosphate"
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide
1-butyl-3-methylimidazolium tricyanomethane
 1-methyl-3-octylimidazolium tricyanomethanide
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate"
1-heptyl-3-methylimidazolium tricyanomethanide
3-hexyl-1-methylimidazolium tricyanomethanide
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide
1-butyl-3-methylimidazolium tetrafluoroborate
1-ethyl-3-methylimidazolium ethyl sulfate
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide
1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide
1-butyl-3-methylimidazolium nitrate
1-butyl-3-methylimidazolium methyl sulfate
1-butyl-3-methylimidazolium acetate
"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide"
1-butyl-3-methylimidazolium alaninate
 1-butyl-3-methylimidazolium methyl sulfate
1-ethyl-3-methylimidazolium tetracyanoborate
1-butyl-3-methylimidazolium glycinate
"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide"
 1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate
1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide
1-ethyl-3-methylimidazolium tetrafluoroborate
1-hexyl-3-methylimidazolium nitrate
1-butyl-3-methylimidazolium chloride
1-butyl-3-methylimidazolium L-valinate
1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide
1-hexyl-3-methylimidazolium tetrafluoroborate
3-(2-hydroxyethyl)-1-methylimidazolium hexafluorophosphate
triethyl(octyl)phosphonium bis((perfluoroethyl)sulfonyl)amide
triethyloctylphosphonium bis(trifluoromethylsulfonyl)imide
triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide
triethyl(pentyl)phosphonium bis((perfluoroethyl)sulfonyl)amide
"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate"
cholinium L-glutaminate
cholinium L-glutamate
cholinium L-tyrosinate
1-butyl-3-vinyl-1H-imidazol-3-ium L-argininate
1-butyl-3-vinylimidazolium L-lysinate
