IL NAME,FFV
1-butyl-3-methyl-imidazolium hexafluorophosphate,0.087
1-ethyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.18
1-butyl-3-methyl-imidazolium bis(trifluoromethylsulfonyl)imide,0.235
1-octyl-3-methyl-imidazolium bis(trifluoromethylsulfonyl)imide,0.215
1-dodecyl-3-methyl-imidazolium bis(trifluoromethylsulfonyl)imide,
1-butyl-3-methyl-imidazolium nitrate,
1-butyl-3-methyl-imidazolium dicyanamide,0.11
1-butyl-3-methyl-imidazolium tetrafluoroborate,0.125
1-butyl-3-methyl-imidazolium trifluooromethanesulfonate,0.13
1-butyl-3-methyl-imidazolium Methide,0.3
1-aminobytyl-3-imidazolium tetrafluoroborate,0.24
3-aminemethyl-1-n-butyl imidazolium bis(trifluoromethylsulfonyl)imide,0.3
1-aminopropyl-3-imidazolium bis(trifluoromethylsulfonyl)imide,
"1,3-di(2′-aminoethyl)-2-methylimidazolium  bromide",
triethylenetetrammonium piperazine,
triethylenetetrammonium imidazolate,
triethylenetetrammonium pyrazolate,
"triethylenetetrammonium 1,2,4-triazolate",
trihexyl(tetradecyl)phosphonium prolinate,
trihexyl(tetradecyl)phosphonium methioninate,0.1
trihexyl(tetradecyl)phosphonium glycinate,0.05
trihexyl(tetradecyl)phosphonium L-α-aminopropionic acid,
trihexyl(tetradecyl)phosphonium sarcosinate,0.11
trihexyl(tetradecyl)phosphonium isoleucinate,0.175
trihexyl(tetradecyl)ammonium lysinate,0.1
trihexyl(tetradecyl)ammonium histidine,0.175
trihexyl(tetradecyl)ammonium asparaginate,
trihexyl(tetradecyl)ammonium glutamate,
3-aminopropyl)tributylphosphonium Alanate,
"1,1,1-trimethylhydrazinium glycinate",0.155
1-aminopropyl-3-imidazolium lysinate,
1-aminoethyl-3-methylimidazolium lysinate,
triethylenetetrammonium lysinate,
diethylenetriammonium lysinate,0.185
trihexyl(tetradecyl)phosphonium phenolate,
trihexyl(tetradecyl)phosphonium p-methylphenolate,
trihexyl(tetradecyl)phosphonium p-chlorophenolate,
trihexyl(tetradecyl)phosphonium p-trifluoromethylphenolate,
trihexyl(tetradecyl)phosphonium p-nitrophenolate,0.1
"N, N-dimethyl-1,3-propane diamine p-fluorophenolate",0.15
trihexyl(tetradecyl)phosphonium cinnamate,
trihexyl(tetradecyl)phosphonium 2-methoxyl cinnamate,
trihexyl(tetradecyl)phosphonium 4-trifluoromethyl cinnamate,
"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene trifluoroethyl",
"methyl-1,5,7-triazabicyclo[4.4.]dec-5-ene Imidazolate",
triethyl(octyl)phosphonium 2-cyanopyrrol-1-ide,0.1825
triethyl(octyl)phosphonium 3-(trifluoromethyl)pyrazol-1-ide,
triethyl(octyl)phosphonium 3-methyl-5-(trifluoromethyl)pyrazol-1-ide,0.298
triethyl(octyl)phosphonium 4-nitropyrazol-1-ide,
Diethyelenetriammonium  Formate,0.19
Diethyelenetriammonium  Butanoate,
Diethyelenetriammonium  Hexanoate,
Diethyelenetriammonium  Octanoate,
1-butyl-3-methylimidazolium hexafluorophosphate,0.11
"1-butyl-2,3-dimethylimidazolium hexafluorophosphate",0.135
1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,0.095
1-butyl-3-methylimidazolium tricyanomethane,0.14
 1-methyl-3-octylimidazolium tricyanomethanide,0.13
"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",0.075
1-heptyl-3-methylimidazolium tricyanomethanide,0.2
3-hexyl-1-methylimidazolium tricyanomethanide,
1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,0.13
1-butyl-3-methylimidazolium tetrafluoroborate,0.125
1-ethyl-3-methylimidazolium ethyl sulfate,0.11
1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,0.04
1-methyl-1-propylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,0.075
1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,0.075
1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,0.2
1-hexyl-1-methylpyrrolidinium bis(trifluoromethanesulfonyl)imide,0.05
1-butyl-3-methylimidazolium nitrate,
1-butyl-3-methylimidazolium methyl sulfate,0.05
1-butyl-3-methylimidazolium acetate,0.13
"1-hexyl-3-methylpyridinium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",
1-butyl-3-methylimidazolium alaninate,0.15
 1-butyl-3-methylimidazolium methyl sulfate,0.175
1-ethyl-3-methylimidazolium tetracyanoborate,0.0711
1-butyl-3-methylimidazolium glycinate,0.035
"1-ethyl-2,3-dimethylimidazolium bis[(trifluoromethyl)sulfonyl]imide",0.17
 1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,0.175
1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,0.125
1-ethyl-3-methylimidazolium tetrafluoroborate,0.085
1-hexyl-3-methylimidazolium nitrate,0.285
1-butyl-3-methylimidazolium chloride,0.075
1-butyl-3-methylimidazolium L-valinate,0.085
1-benzyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)amide,0.25
1-hexyl-3-methylimidazolium tetrafluoroborate,0.143
3-(2-hydroxyethyl)-1-methylimidazolium hexafluorophosphate,0.135
triethyl(octyl)phosphonium bis((perfluoroethyl)sulfonyl)amide,
triethyloctylphosphonium bis(trifluoromethylsulfonyl)imide,0.12
triethyl(pentyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,0.16
triethyl(pentyl)phosphonium bis((perfluoroethyl)sulfonyl)amide,
"2-hydroxy-N,N,N-trimethylethanaminium L-prolinate",0.085
cholinium L-glutaminate,
cholinium L-glutamate,0.03
cholinium L-tyrosinate,
1-butyl-3-vinyl-1H-imidazol-3-ium L-argininate,
1-butyl-3-vinylimidazolium L-lysinate,
1-butyl-3-vinylimidazolium L-histidinate,
1-butyl-3-vinyl-1H-imidazol-3-ium L-prolinate,
1-butyl-3-vinyl-1H-imidazol-3-ium L-valinate,
1-butyl-3-vinylimidazolium glycinate,
1-butyl-3-vinyl-1H-imidazol-3-ium L-alaninate,
1-(2-hydroxyethyl)-3-methylimidazolium tetrafluoroborate,0.095
triethyl(2-methoxyethyl)phosphonium bis((trifluoromethyl)sulfonyl)amide,0.09
1-oleyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide,0.245
 1-octyl-3-methylimidazolium hexafluorophosphate,0.095
 1-(2-methoxyethyl)-3-methyl-imidazolium hexafluorophosphate,
1-(2-methoxyethyl)-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,0.49
1-ethyl-3-methylimidazolium diethyl phosphate,0.07
 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,0.12
1-(2-hydroxyethyl)-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,0.25
1-hexyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,0.19
1-hexyl-3-methylimidazolium tris(heptafluoropropyl)trifluorophosphate,0.2
1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate,
"1-methyl-3-(3,3,4,4,5,5,6,6,6-nonafluorohexyl)-1H-imidazolium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",0.33
"1-methyl-3-(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)imidazolium bis(trifluoromethylsulfonyl)imide",0.273
 1-methyl-3-octylimidazolium tetrafluoroborate,0.325
1-ethyl-3-methylimidazolium ethyl sulfate ,0.12
"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",0.06
1-methyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide,0.073
 triethylsulfonium bis((trifluoromethyl)sulfonyl)imide,0.085
1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,0.07
1-butyl-4-methylpyridinium tetrafluoroborate,0.1172
ethylammonium nitrate,0.035
"N-ethyl-N,N-dimethyl-1-propanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",0.315
"1,2,3-tris(diethylamino)-cyclopropenylium bis(trifluoromethylsulfonyl)imide",
3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,0.285
1-hexyl-3-methylimidazolium bis(perfluoroethylsulfonyl)imide,
1-butyl-3-methyl-1H-imidazolium dimethylphosphate,0.1
1-ethyl-3-methylimidazolium trifluoromethanesulfonate,0.185
1-butyl-3-methylimidazolium  tetrafluoroborate,0.11
"N,N-diethyl-N-methyl-N-propylammonium bis(fluorosulfonyl)imide",0.055
1-methyl-1-propylpyrrolidinium bis(fluorosulfonyl)amide,0.045
1-methyl-1-propylpiperidinium bis(fluorosulfonyl)imide,0.05
2-hydroxy-N-(2-hydroxyethyl)-N-methylethanaminium  chloride,
 triisobutylmethylphosphonium  p-toluenesulfonate,
3-(3-hydroxypropyl)-1-methyl-1H-imidazolium nitrate,
"methyltrioctylammonium  1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",0.265
" 2-(acetyloxy)-N-ethyl-N,N-dimethylethanaminium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",
"N-ethyl-2-(2-methoxyethoxy)-N,N-dimethylethanaminium bis(trifluoromethylsulfonyl)imide ",
"N-ethyl-N,N-dimethylheptanaminium bis((trifluoromethyl)sulfonyl)amide",0.0242
1-butylpyridinium dicyanamide,0.18
1-(2-methoxyethyl)pyridinium thiocyanate,0.095
" 2,2-dihexyl-1,1,3,3-tetramethylguanidinium dicyanamide",
 butyldimethylammonium bis(trifluoromethylsulfonyl)amide,
3-butyl-1H-imidazol-3-ium bis((trifluoromethyl)sulfonyl)amide,0.055
" 2,2-dihexyl-1,1,3,3-tetramethylguanidinium tricyanomethanide",
